respondent_anon_id,raw_text,categoria_num,categoria_label,categoria_sub,categoria_sub_label
A-223,Dar melhores condições de trabalho e salário,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-224,"Atendimento, orientação, acolhimento e luta por direitos, causas etc.",5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-225,A orientação que o sindicato nos passa sobre os nossos direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-226,Parte jurídica,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-227,Vou conhecer o trabalho deles primeiro para ter minha opinião,5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-228,Lutar e defender os direitos da doméstica,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-229,Para mim o departamento jurídico,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-230,No sindicato temos o departamento jurídico,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-231,Defender os direitos das domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-232,suporte jurídico do sindicato,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-233,"Depois das explicações, ahoc que é importante ter advogado, fazer a conta dos direitos",3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-234,Ter advogado e fazer cálculos,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-235,"Ter advogado, pessoa para fazer cálcilo e orientar",3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-236,"O pouco que estudei, é defender nossos direitos",1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-237,"Pelo pouco que ouvi, serve nos defender",1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-238,Nos defender,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-239,Defender os direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-240,Nos da explicações sobre nossos direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-241,Orientar e defender os nossos direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-242,Dar toda a assistência total as domésticas inclusive capacitações e reuniões mensais,2,Orientação sobre direitos,2,Orientação sobre direitos
